section,key,value
machine_profile,hostname,hazy-instance-completes-fin-02
machine_profile,system,Linux
machine_profile,release,6.8.0-100-generic
machine_profile,platform,Linux-6.8.0-100-generic-x86_64-with-glibc2.39
machine_profile,machine,x86_64
machine_profile,python_version,3.12.3
machine_profile,cpu_count,80
machine_profile,cuda_visible_devices,
machine_profile,cuda_compute_cap_override,90
machine_profile,detected_cuda_device_count,2
machine_profile,effective_device_ids,"[0, 1]"
repo_state,repo_path,/root/Documents/myelon-launch/vllm.rs
repo_state,branch,myelon-integration-1
repo_state,commit,5d2400d757e9cbfe0f653d8b4be10c2481559d72
